;ACCIMT Observatory;	ACCIMT Observatory
522;Strasbourg;	Strasbourg [code 522]
523;Frankfurt;	Frankfurt [code 523]
524;Mannheim;	Mannheim [code 524]
525;Marburg;	Marburg [code 525]
526;Kiel;	Kiel [code 526]
527;Altona;	Altona [code 527]
528;Gottingen;	Gottingen [code 528]
529;Christiania;	Christiania [code 529]
530;Lubeck;	Lubeck [code 530]
531;Collegio Romano, Rome;	Collegio Romano, Rome [code 531]
532;Munich;	Munich [code 532]
533;Padua;	Padua [code 533]
534;Leipzig (since 1861);	Leipzig (since 1861) [code 534]
535;Palermo;	Palermo [code 535]
536;Berlin-Babelsberg;	Berlin-Babelsberg [code 536]
537;Urania Observatory, Berlin;	Urania Observatory, Berlin [code 537]
538;Pola;	Pola [code 538]
539;Kremsmunster;	Kremsmunster [code 539]
540;Linz;	Linz [code 540]
541;Prague;	Prague [code 541]
542;Falkensee;	Falkensee [code 542]
543;Leipzig (before 1861);	Leipzig (before 1861) [code 543]
544;Wilhelm Foerster Observatory, Berlin;	Wilhelm Foerster Observatory, Berlin [code 544]
545;Vienna (before 1879);	Vienna (before 1879) [code 545]
546;Oppolzer Observatory, Vienna;	Oppolzer Observatory, Vienna [code 546]
547;Breslau;	Breslau [code 547]
548;Berlin (1835-1913);	Berlin (1835-1913) [code 548]
549;Uppsala;	Uppsala [code 549]
550;Schwerin;	Schwerin [code 550]
551;Hurbanovo, formerly O&#39;Gyalla;	Hurbanovo, formerly O&#39;Gyalla [code 551]
552;Osservatorio S. Vittore, Bologna;	Osservatorio S. Vittore, Bologna [code 552]
553;Chorzow;	Chorzow [code 553]
554;Burgsolms Observatory, Wetzlar;	Burgsolms Observatory, Wetzlar [code 554]
555;Cracow-Fort Skala;	Cracow-Fort Skala [code 555]
556;Reintal, near Munich;	Reintal, near Munich [code 556]
557;Ondrejov;	Ondrejov [code 557]
558;Warsaw;	Warsaw [code 558]
559;Serra La Nave;	Serra La Nave [code 559]
560;Madonna di Dossobuono;	Madonna di Dossobuono [code 560]
561;Piszkesteto Stn. (Konkoly);	Piszkesteto Stn. (Konkoly) [code 561]
562;Figl Observatory, Vienna;	Figl Observatory, Vienna [code 562]
563;Seewalchen;	Seewalchen [code 563]
564;Herrsching;	Herrsching [code 564]
565;Bassano Bresciano;	Bassano Bresciano [code 565]
566;Haleakala-NEAT/GEODSS;	Haleakala-NEAT/GEODSS [code 566]
567;Chions;	Chions [code 567]
568;Mauna Kea;	Mauna Kea [code 568]
569;Helsinki;	Helsinki [code 569]
570;Vilnius (since 1939);	Vilnius (since 1939) [code 570]
571;Cavriana;	Cavriana [code 571]
572;Cologne;	Cologne [code 572]
573;Eldagsen;	Eldagsen [code 573]
574;Gottolengo;	Gottolengo [code 574]
575;La Chaux de Fonds;	La Chaux de Fonds [code 575]
576;Burwash;	Burwash [code 576]
577;Metzerlen Observatory;	Metzerlen Observatory [code 577]
578;Linden Observatory;	Linden Observatory [code 578]
579;Novi Ligure;	Novi Ligure [code 579]
580;Graz;	Graz [code 580]
581;Sedgefield;	Sedgefield [code 581]
582;Orwell Park;	Orwell Park [code 582]
583;Odessa-Mayaki;	Odessa-Mayaki [code 583]
584;Leningrad;	Leningrad [code 584]
585;Kyiv comet station;	Kyiv comet station [code 585]
586;Pic du Midi;	Pic du Midi [code 586]
587;Sormano;	Sormano [code 587]
588;Eremo di Tizzano;	Eremo di Tizzano [code 588]
589;Santa Lucia Stroncone;	Santa Lucia Stroncone [code 589]
590;Metzerlen;	Metzerlen [code 590]
591;Resse Observatory;	Resse Observatory [code 591]
592;Solingen;	Solingen [code 592]
593;Monte Argentario;	Monte Argentario [code 593]
594;Monte Autore;	Monte Autore [code 594]
595;Farra d&#39;Isonzo;	Farra d&#39;Isonzo [code 595]
596;Colleverde di Guidonia;	Colleverde di Guidonia [code 596]
597;Springe;	Springe [code 597]
598;Loiano;	Loiano [code 598]
599;Campo Imperatore-CINEOS;	Campo Imperatore-CINEOS [code 599]
600;TLC Observatory, Bologna;	TLC Observatory, Bologna [code 600]
601;Engelhardt Observatory, Dresden;	Engelhardt Observatory, Dresden [code 601]
602;Urania Observatory, Vienna;	Urania Observatory, Vienna [code 602]
603;Bothkamp;	Bothkamp [code 603]
604;Archenhold Sternwarte, Berlin-Treptow;	Archenhold Sternwarte, Berlin-Treptow [code 604]
605;Marl;	Marl [code 605]
606;Norderstedt;	Norderstedt [code 606]
607;Hagen Observatory, Ronkhausen;	Hagen Observatory, Ronkhausen [code 607]
608;Haleakala-AMOS;	Haleakala-AMOS [code 608]
609;Osservatorio Polino;	Osservatorio Polino [code 609]
610;Pianoro;	Pianoro [code 610]
611;Starkenburg Sternwarte, Heppenheim;	Starkenburg Sternwarte, Heppenheim [code 611]
612;Lenkerbeck;	Lenkerbeck [code 612]
613;Heisingen;	Heisingen [code 613]
614;Soisy-sur-Seine;	Soisy-sur-Seine [code 614]
615;St. Veran;	St. Veran [code 615]
616;Brno;	Brno [code 616]
617;Arbonne la Foret;	Arbonne la Foret [code 617]
618;Martigues;	Martigues [code 618]
619;Sabadell;	Sabadell [code 619]
620;Observatorio Astronomico de Mallorca;	Observatorio Astronomico de Mallorca [code 620]
621;Bergisch Gladbach;	Bergisch Gladbach [code 621]
622;Oberwichtrach;	Oberwichtrach [code 622]
623;Liege;	Liege [code 623]
624;Dertingen;	Dertingen [code 624]
625;Kihei-AMOS Remote Maui Experimental Site;	Kihei-AMOS Remote Maui Experimental Site [code 625]
626;Geel;	Geel [code 626]
627;Blauvac;	Blauvac [code 627]
628;Mulheim-Ruhr;	Mulheim-Ruhr [code 628]
629;Szeged Observatory;	Szeged Observatory [code 629]
630;Osenbach;	Osenbach [code 630]
631;Hamburg-Georgswerder;	Hamburg-Georgswerder [code 631]
632;San Polo A Mosciano;	San Polo A Mosciano [code 632]
633;Romito;	Romito [code 633]
634;Crolles;	Crolles [code 634]
635;Pergignan;	Pergignan [code 635]
636;Essen;	Essen [code 636]
637;Hamburg-Himmelsmoor;	Hamburg-Himmelsmoor [code 637]
638;Detmold;	Detmold [code 638]
639;Dresden;	Dresden [code 639]
640;Senftenberger Sternwarte;	Senftenberger Sternwarte [code 640]
641;Overberg;	Overberg [code 641]
642;Oak Bay, Victoria;	Oak Bay, Victoria [code 642]
643;OCA-Anza Observatory;	OCA-Anza Observatory [code 643]
644;Palomar Mountain/NEAT;	Palomar Mountain/NEAT [code 644]
645;Apache Point-Sloan Digital Sky Survey;	Apache Point-Sloan Digital Sky Survey [code 645]
646;Santana Observatory, Rancho Cucamonga;	Santana Observatory, Rancho Cucamonga [code 646]
647;Stone Finder Observatory, Calgary;	Stone Finder Observatory, Calgary [code 647]
648;Winer Observatory, Sonoita;	Winer Observatory, Sonoita [code 648]
649;Powell Observatory, Louisburg;	Powell Observatory, Louisburg [code 649]
650;Temecula;	Temecula [code 650]
651;Grasslands Observatory, Tucson;	Grasslands Observatory, Tucson [code 651]
652;Rock Finder Observatory, Calgary;	Rock Finder Observatory, Calgary [code 652]
653;Torus Observatory, Buckley;	Torus Observatory, Buckley [code 653]
654;Table Mountain Observatory, Wrightwood-PHMC;	Table Mountain Observatory, Wrightwood-PHMC [code 654]
655;Sooke;	Sooke [code 655]
656;Victoria;	Victoria [code 656]
657;Climenhaga Observatory, Victoria;	Climenhaga Observatory, Victoria [code 657]
658;National Research Council of Canada;	National Research Council of Canada [code 658]
659;Heron Cove Observatory, Orcas;	Heron Cove Observatory, Orcas [code 659]
660;Leuschner Observatory, Berkeley;	Leuschner Observatory, Berkeley [code 660]
661;Rothney Astrophysical Observatory, Priddis;	Rothney Astrophysical Observatory, Priddis [code 661]
662;Lick Observatory, Mount Hamilton;	Lick Observatory, Mount Hamilton [code 662]
663;Red Mountain Observatory;	Red Mountain Observatory [code 663]
664;Manastash Ridge Observatory;	Manastash Ridge Observatory [code 664]
665;Wallis Observatory;	Wallis Observatory [code 665]
666;Moorpark College Observatory;	Moorpark College Observatory [code 666]
667;Wanapum Dam;	Wanapum Dam [code 667]
668;San Emigdio Peak;	San Emigdio Peak [code 668]
669;Ojai;	Ojai [code 669]
670;Camarillo;	Camarillo [code 670]
671;Stony Ridge;	Stony Ridge [code 671]
672;Mount Wilson;	Mount Wilson [code 672]
673;Table Mountain Observatory, Wrightwood;	Table Mountain Observatory, Wrightwood [code 673]
674;Ford Observatory, Wrightwood;	Ford Observatory, Wrightwood [code 674]
675;Palomar Mountain;	Palomar Mountain [code 675]
676;San Clemente;	San Clemente [code 676]
677;Lake Arrowhead;	Lake Arrowhead [code 677]
678;Fountain Hills;	Fountain Hills [code 678]
679;San Pedro Martir;	San Pedro Martir [code 679]
680;Los Angeles;	Los Angeles [code 680]
681;Calgary;	Calgary [code 681]
682;Kanab;	Kanab [code 682]
683;Goodricke-Pigott Observatory, Tucson;	Goodricke-Pigott Observatory, Tucson [code 683]
684;Prescott;	Prescott [code 684]
685;Williams;	Williams [code 685]
686;U. of Minn. Infrared Obs., Mt. Lemmon;	U. of Minn. Infrared Obs., Mt. Lemmon [code 686]
687;Northern Arizona University, Flagstaff;	Northern Arizona University, Flagstaff [code 687]
688;Lowell Observatory, Anderson Mesa Station;	Lowell Observatory, Anderson Mesa Station [code 688]
689;U.S. Naval Observatory, Flagstaff;	U.S. Naval Observatory, Flagstaff [code 689]
690;Lowell Observatory, Flagstaff;	Lowell Observatory, Flagstaff [code 690]
691;Steward Observatory, Kitt Peak-Spacewatch;	Steward Observatory, Kitt Peak-Spacewatch [code 691]
692;Steward Observatory, Tucson;	Steward Observatory, Tucson [code 692]
693;Catalina Station, Tucson;	Catalina Station, Tucson [code 693]
694;Tumamoc Hill, Tucson;	Tumamoc Hill, Tucson [code 694]
695;Kitt Peak;	Kitt Peak [code 695]
696;Whipple Observatory, Mt. Hopkins;	Whipple Observatory, Mt. Hopkins [code 696]
697;Kitt Peak, McGraw-Hill;	Kitt Peak, McGraw-Hill [code 697]
698;Mt. Bigelow;	Mt. Bigelow [code 698]
699;Lowell Observatory-LONEOS;	Lowell Observatory-LONEOS [code 699]
700;Chinle;	Chinle [code 700]
701;Junk Bond Observatory, Sierra Vista;	Junk Bond Observatory, Sierra Vista [code 701]
702;Joint Obs. for cometary research, Socorro;	Joint Obs. for cometary research, Socorro [code 702]
703;Catalina Sky Survey;	Catalina Sky Survey [code 703]
704;Lincoln Laboratory ETS, New Mexico;	Lincoln Laboratory ETS, New Mexico [code 704]
705;Apache Point;	Apache Point [code 705]
706;Salida;	Salida [code 706]
707;Chamberlin field station;	Chamberlin field station [code 707]
708;Chamberlin Observatory, Denver;	Chamberlin Observatory, Denver [code 708]
709;W &amp; B Observatory, Cloudcroft;	W &amp; B Observatory, Cloudcroft [code 709]
710;MPO Observatory, Florissant;	MPO Observatory, Florissant [code 710]
711;McDonald Observatory, Fort Davis;	McDonald Observatory, Fort Davis [code 711]
712;USAF Academy Observatory, Colorado Springs;	USAF Academy Observatory, Colorado Springs [code 712]
713;Thornton;	Thornton [code 713]
714;Bagdad;	Bagdad [code 714]
715;Jornada Observatory, Las Cruces;	Jornada Observatory, Las Cruces [code 715]
716;Palmer Divide Observatory, Colorado Springs;	Palmer Divide Observatory, Colorado Springs [code 716]
717;Prude Ranch;	Prude Ranch [code 717]
718;Tooele;	Tooele [code 718]
719;Etscorn Observatory;	Etscorn Observatory [code 719]
720;Universidad de Monterrey;	Universidad de Monterrey [code 720]
721;Lime Creek;	Lime Creek [code 721]
722;Missouri City;	Missouri City [code 722]
723;Cottonwood Observatory, Ada;	Cottonwood Observatory, Ada [code 723]
724;National Observatory, Tacubaya;	National Observatory, Tacubaya [code 724]
725;Fair Oaks Ranch;	Fair Oaks Ranch [code 725]
726;Brainerd;	Brainerd [code 726]
727;Zeno Observatory, Edmond;	Zeno Observatory, Edmond [code 727]
728;Corpus Christi;	Corpus Christi [code 728]
729;Glenlea Astronomical Observatory, Winnipeg;	Glenlea Astronomical Observatory, Winnipeg [code 729]
730;University of North Dakota, Grand Forks;	University of North Dakota, Grand Forks [code 730]
731;Rose-Hulman Observatory, Terre Haute;	Rose-Hulman Observatory, Terre Haute [code 731]
732;Oaxaca;	Oaxaca [code 732]
733;Allen, Texas;	Allen, Texas [code 733]
734;Farpoint Observatory, Eskridge;	Farpoint Observatory, Eskridge [code 734]
735;George Observatory, Needville;	George Observatory, Needville [code 735]
736;Houston;	Houston [code 736]
737;New Bullpen Observatory, Alpharetta;	New Bullpen Observatory, Alpharetta [code 737]
738;Observatory of the State University of Missouri;	Observatory of the State University of Missouri [code 738]
739;Sunflower Observatory, Olathe;	Sunflower Observatory, Olathe [code 739]
740;SFA Observatory, Nacogdoches;	SFA Observatory, Nacogdoches [code 740]
741;Goodsell Observatory, Northfield;	Goodsell Observatory, Northfield [code 741]
742;Drake University, Des Moines;	Drake University, Des Moines [code 742]
743;University of Minnesota, Minneapolis;	University of Minnesota, Minneapolis [code 743]
744;Doyan Rose Observatory, Indianapolis;	Doyan Rose Observatory, Indianapolis [code 744]
745;Morrison Obervatory, Glasgow;	Morrison Obervatory, Glasgow [code 745]
746;Brooks Observatory, Mt. Pleasant;	Brooks Observatory, Mt. Pleasant [code 746]
747;Highland Road Park Observatory;	Highland Road Park Observatory [code 747]
748;Van Allen Observatory, Iowa City;	Van Allen Observatory, Iowa City [code 748]
749;Oakwood;	Oakwood [code 749]
750;Hobbs Observatory, Fall Creek;	Hobbs Observatory, Fall Creek [code 750]
751;Lake Saint Louis;	Lake Saint Louis [code 751]
752;Puckett Observatory, Mountain Town;	Puckett Observatory, Mountain Town [code 752]
753;Washburn Observatory, Madison;	Washburn Observatory, Madison [code 753]
754;Yerkes Observatory, Williams Bay;	Yerkes Observatory, Williams Bay [code 754]
755;Optec Observatory;	Optec Observatory [code 755]
756;Dearborn Observatory, Evanston;	Dearborn Observatory, Evanston [code 756]
757;High Point;	High Point [code 757]
758;BCC Observatory, Cocoa;	BCC Observatory, Cocoa [code 758]
759;Nashville;	Nashville [code 759]
760;Goethe Link Observatory, Brooklyn;	Goethe Link Observatory, Brooklyn [code 760]
761;Zephyrhills;	Zephyrhills [code 761]
762;Four Winds Observatory, Lake Leelanau;	Four Winds Observatory, Lake Leelanau [code 762]
763;King City;	King City [code 763]
764;Puckett Observatory, Stone Mountain;	Puckett Observatory, Stone Mountain [code 764]
765;Cincinnati;	Cincinnati [code 765]
766;Michigan State University Obs., East Lansing;	Michigan State University Obs., East Lansing [code 766]
767;Ann Arbor;	Ann Arbor [code 767]
768;Dearborn Observatory;	Dearborn Observatory [code 768]
769;McMillin Observatory, Columbus;	McMillin Observatory, Columbus [code 769]
770;Crescent Moon Observatory, Columbus;	Crescent Moon Observatory, Columbus [code 770]
771;Boyeros Observatory, Havana;	Boyeros Observatory, Havana [code 771]
772;Boltwood Observatory, Stittsville;	Boltwood Observatory, Stittsville [code 772]
773;Warner and Swasey Observatory, Cleveland;	Warner and Swasey Observatory, Cleveland [code 773]
774;Warner and Swasey Nassau Station, Chardon;	Warner and Swasey Nassau Station, Chardon [code 774]
775;Sayre Observatory, South Bethlehem;	Sayre Observatory, South Bethlehem [code 775]
776;Foggy Bottom, Hamilton;	Foggy Bottom, Hamilton [code 776]
777;Toronto;	Toronto [code 777]
778;Allegheny Observatory, Pittsburgh;	Allegheny Observatory, Pittsburgh [code 778]
779;David Dunlap Observatory, Richmond Hill;	David Dunlap Observatory, Richmond Hill [code 779]
780;Leander McCormick Observatory, Charlottesville;	Leander McCormick Observatory, Charlottesville [code 780]
781;Quito;	Quito [code 781]
782;Quito, comet astrograph station;	Quito, comet astrograph station [code 782]
783;Rixeyville;	Rixeyville [code 783]
784;Stull Observatory, Alfred University;	Stull Observatory, Alfred University [code 784]
785;Fitz-Randolph Observatory, Princeton;	Fitz-Randolph Observatory, Princeton [code 785]
786;U.S. Naval Obs., Washington (since 1893);	U.S. Naval Obs., Washington (since 1893) [code 786]
787;U.S. Naval Obs., Washington (before 1893);	U.S. Naval Obs., Washington (before 1893) [code 787]
788;Mount Cuba Observatory, Wilmington;	Mount Cuba Observatory, Wilmington [code 788]
789;Litchfield Observatory, Clinton;	Litchfield Observatory, Clinton [code 789]
790;Dominion Observatory, Ottawa;	Dominion Observatory, Ottawa [code 790]
791;Flower and Cook Observatory, Philadelphia;	Flower and Cook Observatory, Philadelphia [code 791]
792;University of Rhode Island, Quonochontaug;	University of Rhode Island, Quonochontaug [code 792]
793;Dudley Observatory, Albany (before 1893);	Dudley Observatory, Albany (before 1893) [code 793]
794;Vassar College Observatory, Poughkeepsie;	Vassar College Observatory, Poughkeepsie [code 794]
795;Rutherford;	Rutherford [code 795]
796;Stamford;	Stamford [code 796]
797;Yale Observatory, New Haven;	Yale Observatory, New Haven [code 797]
798;Yale Observatory, Bethany;	Yale Observatory, Bethany [code 798]
799;Winchester;	Winchester [code 799]
800;Harvard Observatory, Arequipa;	Harvard Observatory, Arequipa [code 800]
801;Oak Ridge Observatory;	Oak Ridge Observatory [code 801]
802;Harvard Observatory, Cambridge;	Harvard Observatory, Cambridge [code 802]
803;Taunton;	Taunton [code 803]
804;Santiago-San Bernardo;	Santiago-San Bernardo [code 804]
805;Santiago-Cerro El Roble;	Santiago-Cerro El Roble [code 805]
806;Santiago-Cerro Calan;	Santiago-Cerro Calan [code 806]
807;Cerro Tololo Observatory, La Serena;	Cerro Tololo Observatory, La Serena [code 807]
808;El Leoncito;	El Leoncito [code 808]
809;European Southern Observatory, La Silla;	European Southern Observatory, La Silla [code 809]
810;Wallace Observatory, Westford;	Wallace Observatory, Westford [code 810]
811;Maria Mitchell Observatory, Nantucket;	Maria Mitchell Observatory, Nantucket [code 811]
812;Vina del Mar;	Vina del Mar [code 812]
813;Santiago-Quinta Normal (1862-1920);	Santiago-Quinta Normal (1862-1920) [code 813]
814;North Scituate;	North Scituate [code 814]
815;Santiago-Santa Lucia (1849-1861);	Santiago-Santa Lucia (1849-1861) [code 815]
816;Rand Observatory;	Rand Observatory [code 816]
817;Sudbury;	Sudbury [code 817]
818;Gemeaux Observatory, Laval;	Gemeaux Observatory, Laval [code 818]
819;Val-des-Bois;	Val-des-Bois [code 819]
820;Tarija;	Tarija [code 820]
821;Cordoba-Bosque Alegre;	Cordoba-Bosque Alegre [code 821]
822;Cordoba;	Cordoba [code 822]
823;Fitchburg;	Fitchburg [code 823]
824;Lake Clear;	Lake Clear [code 824]
825;Granville;	Granville [code 825]
826;Plessissville;	Plessissville [code 826]
827;Saint-Felicien;	Saint-Felicien [code 827]
828;Assonet;	Assonet [code 828]
829;Complejo Astronomico El Leoncito;	Complejo Astronomico El Leoncito [code 829]
830;Hudson;	Hudson [code 830]
831;Rosemary Hill Observatory, University of Florida;	Rosemary Hill Observatory, University of Florida [code 831]
832;Etters;	Etters [code 832]
833;Obs. Astronomico de Mercedes, Buenos Aires;	Obs. Astronomico de Mercedes, Buenos Aires [code 833]
834;Buenos Aires-AAAA;	Buenos Aires-AAAA [code 834]
835;Drum Hill Station, Chelmsford;	Drum Hill Station, Chelmsford [code 835]
836;Furnace Brook Observatory, Cranston;	Furnace Brook Observatory, Cranston [code 836]
837;Jupiter;	Jupiter [code 837]
838;Dayton;	Dayton [code 838]
839;La Plata;	La Plata [code 839]
840;Flint;	Flint [code 840]
841;Martin Observatory, Blacksburg;	Martin Observatory, Blacksburg [code 841]
842;Gettysburg College Observatory;	Gettysburg College Observatory [code 842]
843;Emerald Lane Observatory, Decatur;	Emerald Lane Observatory, Decatur [code 843]
844;Observatorio Astronomico Los Molinos;	Observatorio Astronomico Los Molinos [code 844]
845;Ford Observatory, Ithaca;	Ford Observatory, Ithaca [code 845]
846;Principia Astronomical Observatory, Elsah;	Principia Astronomical Observatory, Elsah [code 846]
847;Lunar Cafe Observator, Flint;	Lunar Cafe Observator, Flint [code 847]
848;Tenagra Observatory, Cottage Grove;	Tenagra Observatory, Cottage Grove [code 848]
849;Everstar Observatory, Olathe;	Everstar Observatory, Olathe [code 849]
850;Cordell-Lorenz Observatory, Sewanee;	Cordell-Lorenz Observatory, Sewanee [code 850]
851;Burke-Gaffney Observatory, Halifax;	Burke-Gaffney Observatory, Halifax [code 851]
852;River Moss Observatory, St. Peters;	River Moss Observatory, St. Peters [code 852]
853;Biosphere 2 Observatory;	Biosphere 2 Observatory [code 853]
